127.0.0.1 - - [21/May/2021:11:17:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:03 +0900] "GET /ITBiz/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:03 +0900] "GET /ITBiz/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:03 +0900] "GET /ITBiz/user/login;jsessionid=B8D508C91AC414A3673B068C5965E354 HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:04 +0900] "GET /ITBiz/user/images/icons/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:04 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:08 +0900] "POST /ITBiz/user/trylogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:08 +0900] "GET /ITBiz/main HTTP/1.1" 200 35897
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:08 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:11 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 54715
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:11 +0900] "GET /ITBiz/static/main/js/jquery.tablesorter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:13 +0900] "POST /ITBiz/biz/searchBaseDateScope HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:13 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=21 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:13 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=21 HTTP/1.1" 200 12
