127.0.0.1 - - [03/Jun/2021:18:52:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:00 +0900] "GET /ITBiz/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:00 +0900] "GET /ITBiz/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:01 +0900] "GET /ITBiz/user/login;jsessionid=23BD5A2741C13C5D65B6CB59666FEE6B HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:01 +0900] "GET /ITBiz/user/images/icons/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:01 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "POST /ITBiz/user/trylogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "GET /ITBiz/main HTTP/1.1" 200 35985
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "GET /ITBiz/static/main/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "GET /ITBiz/static/main/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "GET /ITBiz/static/main/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "GET /ITBiz/static/main/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "GET /ITBiz/static/main/js/demo/datatables-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "GET /ITBiz/static/main/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "GET /ITBiz/static/main/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:18:53:05 +0900] "GET /ITBiz/static/main/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
